Country of Asylum,Number of Applications
USA,415
Malaysia,303
Netherlands,152
Australia,133
Thailand,116
China,106
Norway,104
Germany,96
Switzerland,95
Austria,78
Cyprus,77
United Kingdom ,77
Canada,65
France,48
New Zealand,31
Spain,16
Sweden,16
Denmark,10
Hungary,10
Mexico,10
Republic of Korea,8
Bulgaria,5
Finland,5
Ireland,5
Japan,5
Luxembourg,5
Poland,5
Portugal,5
Ukraine,5
