Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
2014,NPL,DEU,Nepal,Germany,51,0,56,0,0,0
2014,NPL,GRC,Nepal,Greece,0,0,5,0,0,0
2014,NPL,GTM,Nepal,Guatemala,0,0,8,0,0,0
2014,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",0,0,42,0,0,0
2014,NPL,HUN,Nepal,Hungary,7,0,0,0,0,0
2014,NPL,IDN,Nepal,Indonesia,0,0,5,0,0,0
2014,NPL,IRL,Nepal,Ireland,0,0,13,0,0,0
2014,NPL,ITA,Nepal,Italy,28,0,32,0,0,0
2014,NPL,JPN,Nepal,Japan,0,0,1870,0,0,0
2014,NPL,KOR,Nepal,Republic of Korea,5,0,96,0,0,0
2014,NPL,MEX,Nepal,Mexico,0,0,10,0,0,0
2014,NPL,MYS,Nepal,Malaysia,5,0,0,0,0,0
2014,NPL,NLD,Nepal,Netherlands,441,0,22,0,0,0
2014,NPL,NOR,Nepal,Norway,11,0,6,0,0,0
2014,NPL,NRU,Nepal,Nauru,0,0,11,0,0,0
2014,NPL,NZL,Nepal,New Zealand,14,0,0,0,0,0
2014,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2014,NPL,PNG,Nepal,Papua New Guinea,0,0,10,0,0,0
2014,NPL,POL,Nepal,Poland,9,0,0,0,0,0
2014,NPL,ZAF,Nepal,South Africa,0,0,86,0,0,0
2014,NPL,ESP,Nepal,Spain,6,0,0,0,0,0
2014,NPL,SWE,Nepal,Sweden,21,0,9,0,0,0
2014,NPL,CHE,Nepal,Switzerland,16,0,23,0,0,0
2014,NPL,THA,Nepal,Thailand,12,0,7,0,0,0
2014,NPL,TUR,Nepal,Turkey,0,0,14,0,0,0
2014,NPL,UKR,Nepal,Ukraine,0,0,18,0,0,0
2014,NPL,USA,Nepal,United States of America,6197,0,3547,0,0,0
2015,NPL,AUS,Nepal,Australia,199,0,329,0,0,0
2015,NPL,AUT,Nepal,Austria,47,0,85,0,0,0
2015,NPL,BEL,Nepal,Belgium,13,0,37,0,0,0
2015,NPL,BRA,Nepal,Brazil,5,0,62,0,0,0
2015,NPL,CAN,Nepal,Canada,1304,0,74,0,0,0
2015,NPL,CRI,Nepal,Costa Rica,0,0,115,0,0,0
2015,NPL,CYP,Nepal,Cyprus,0,0,11,0,0,0
2015,NPL,DNK,Nepal,Denmark,7,0,5,0,0,0
2015,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2015,NPL,FIN,Nepal,Finland,5,0,21,0,0,0
2015,NPL,FRA,Nepal,France,119,0,105,0,0,0
2015,NPL,FSM,Nepal,Micronesia (Federated States of),5,0,5,0,0,0
2015,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,110,0,67,0,0,0
2015,NPL,DEU,Nepal,Germany,45,0,40,0,0,0
2015,NPL,GTM,Nepal,Guatemala,0,0,57,0,0,0
2015,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",0,0,42,0,0,0
2015,NPL,HUN,Nepal,Hungary,9,0,9,0,0,0
2015,NPL,IDN,Nepal,Indonesia,0,0,5,0,0,0
2015,NPL,IRL,Nepal,Ireland,0,0,21,0,0,0
2015,NPL,ITA,Nepal,Italy,56,0,12,0,0,0
2015,NPL,JPN,Nepal,Japan,0,0,3096,0,0,0
2015,NPL,KOR,Nepal,Republic of Korea,5,0,127,0,0,0
2015,NPL,MEX,Nepal,Mexico,0,0,5,0,0,0
2015,NPL,MYS,Nepal,Malaysia,6,0,0,0,0,0
2015,NPL,MLT,Nepal,Malta,0,0,5,0,0,0
2015,NPL,NLD,Nepal,Netherlands,416,0,18,0,0,0
2015,NPL,NOR,Nepal,Norway,13,0,30,0,0,0
2015,NPL,NRU,Nepal,Nauru,5,0,5,0,0,0
2015,NPL,NZL,Nepal,New Zealand,12,0,0,0,0,0
2015,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2015,NPL,POL,Nepal,Poland,7,0,0,0,0,0
2015,NPL,ZAF,Nepal,South Africa,0,0,140,0,0,0
2015,NPL,ESP,Nepal,Spain,6,0,0,0,0,0
2015,NPL,SWE,Nepal,Sweden,19,0,70,0,0,0
2015,NPL,CHE,Nepal,Switzerland,18,0,17,0,0,0
2015,NPL,THA,Nepal,Thailand,11,0,10,0,0,0
2015,NPL,TUR,Nepal,Turkey,0,0,9,0,0,0
2015,NPL,UKR,Nepal,Ukraine,0,0,18,0,0,0
2015,NPL,USA,Nepal,United States of America,6605,0,4293,0,0,0
2016,NPL,ARG,Nepal,Argentina,0,0,5,0,0,0
2016,NPL,AUS,Nepal,Australia,200,0,287,0,0,0
2016,NPL,AUT,Nepal,Austria,40,0,109,0,0,0
2016,NPL,BEL,Nepal,Belgium,13,0,32,0,0,0
2016,NPL,BRA,Nepal,Brazil,5,0,72,0,0,0
2016,NPL,BGR,Nepal,Bulgaria,0,0,11,0,0,0
2016,NPL,CAN,Nepal,Canada,566,0,144,0,0,0
2016,NPL,COD,Nepal,Democratic Republic of the Congo,0,0,5,0,0,0
2016,NPL,CRI,Nepal,Costa Rica,0,0,107,0,0,0
2016,NPL,CYP,Nepal,Cyprus,0,0,42,0,0,0
2016,NPL,DNK,Nepal,Denmark,7,0,0,0,0,0
2016,NPL,FIN,Nepal,Finland,5,0,5,0,0,0
2016,NPL,FRA,Nepal,France,128,0,22,0,0,0
2016,NPL,FSM,Nepal,Micronesia (Federated States of),5,0,0,0,0,0
2016,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,20,0,121,0,0,0
2016,NPL,GEO,Nepal,Georgia,0,0,5,0,0,0
2016,NPL,DEU,Nepal,Germany,42,0,160,0,0,0
2016,NPL,GRC,Nepal,Greece,0,0,30,0,0,0
2016,NPL,HUN,Nepal,Hungary,11,0,0,0,0,0
2016,NPL,IRL,Nepal,Ireland,0,0,11,0,0,0
2016,NPL,ISR,Nepal,Israel,0,0,6,0,0,0
2016,NPL,ITA,Nepal,Italy,78,0,50,0,0,0
2016,NPL,JPN,Nepal,Japan,0,0,4144,0,0,0
2016,NPL,KOR,Nepal,Republic of Korea,5,0,174,0,0,0
2016,NPL,MEX,Nepal,Mexico,0,0,5,0,0,0
2016,NPL,MYS,Nepal,Malaysia,6,0,0,0,0,0
2016,NPL,NPL,Nepal,Nepal,0,0,0,585,0,0
2016,NPL,NLD,Nepal,Netherlands,367,0,12,0,0,0
2016,NPL,NOR,Nepal,Norway,11,0,0,0,0,0
2016,NPL,NRU,Nepal,Nauru,5,0,5,0,0,0
2016,NPL,NZL,Nepal,New Zealand,7,0,0,0,0,0
2016,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2016,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2016,NPL,POL,Nepal,Poland,7,0,5,0,0,0
2016,NPL,ZAF,Nepal,South Africa,0,0,35,0,0,0
2016,NPL,SWE,Nepal,Sweden,20,0,34,0,0,0
2016,NPL,CHE,Nepal,Switzerland,21,0,20,0,0,0
2016,NPL,THA,Nepal,Thailand,12,0,7,0,0,0
2016,NPL,TUR,Nepal,Turkey,0,0,6,0,0,0
2016,NPL,UKR,Nepal,Ukraine,0,0,19,0,0,0
2016,NPL,USA,Nepal,United States of America,6784,0,5820,0,0,0
2017,NPL,ARG,Nepal,Argentina,0,0,5,0,0,0
2017,NPL,AUS,Nepal,Australia,182,0,327,0,0,0
2017,NPL,AUT,Nepal,Austria,39,0,82,0,0,0
2017,NPL,BEL,Nepal,Belgium,13,0,20,0,0,0
2017,NPL,BRA,Nepal,Brazil,6,0,143,0,0,0
2017,NPL,BIH,Nepal,Bosnia and Herzegovina,0,0,5,0,0,0
2017,NPL,CAN,Nepal,Canada,557,0,188,0,0,0
2017,NPL,COD,Nepal,Democratic Republic of the Congo,0,0,5,0,0,0
2017,NPL,CRI,Nepal,Costa Rica,0,0,107,0,0,0
2017,NPL,CYP,Nepal,Cyprus,0,0,102,0,0,0
2017,NPL,DNK,Nepal,Denmark,7,0,0,0,0,0
2017,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2017,NPL,FRA,Nepal,France,129,0,67,0,0,0
2017,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,24,0,135,0,0,0
2017,NPL,DEU,Nepal,Germany,50,0,142,0,0,0
2017,NPL,GRC,Nepal,Greece,5,0,63,0,0,0
2017,NPL,HUN,Nepal,Hungary,11,0,0,0,0,0
2017,NPL,IRL,Nepal,Ireland,0,0,17,0,0,0
2017,NPL,ISR,Nepal,Israel,0,0,8,0,0,0
2017,NPL,ITA,Nepal,Italy,95,0,156,0,0,0
2017,NPL,JPN,Nepal,Japan,0,0,4520,0,0,0
2017,NPL,KOR,Nepal,Republic of Korea,5,0,135,0,0,0
2017,NPL,LKA,Nepal,Sri Lanka,0,0,5,0,0,0
2017,NPL,MEX,Nepal,Mexico,0,0,5,0,0,0
2017,NPL,MYS,Nepal,Malaysia,9,0,0,0,0,0
2017,NPL,NPL,Nepal,Nepal,0,0,0,382,0,0
2017,NPL,NLD,Nepal,Netherlands,294,0,0,0,0,0
2017,NPL,NOR,Nepal,Norway,10,0,0,0,0,0
2017,NPL,NRU,Nepal,Nauru,5,0,9,0,0,0
2017,NPL,NZL,Nepal,New Zealand,5,0,0,0,0,0
2017,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2017,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2017,NPL,POL,Nepal,Poland,7,0,0,0,0,0
2017,NPL,SWE,Nepal,Sweden,19,0,12,0,0,0
2017,NPL,CHE,Nepal,Switzerland,19,0,11,0,0,0
2017,NPL,THA,Nepal,Thailand,11,0,0,0,0,0
2017,NPL,TUR,Nepal,Turkey,0,0,5,0,0,0
2017,NPL,UKR,Nepal,Ukraine,0,0,19,0,0,0
2017,NPL,USA,Nepal,United States of America,6907,0,6872,0,0,0
2018,NPL,ARG,Nepal,Argentina,0,0,5,0,0,0
2018,NPL,AUS,Nepal,Australia,159,0,442,0,0,0
2018,NPL,AUT,Nepal,Austria,35,0,71,0,0,0
2018,NPL,AZE,Nepal,Azerbaijan,0,0,7,0,0,0
2018,NPL,BEL,Nepal,Belgium,13,0,5,0,0,0
2018,NPL,BRA,Nepal,Brazil,10,0,264,0,0,0
2018,NPL,BIH,Nepal,Bosnia and Herzegovina,0,0,8,0,0,0
2018,NPL,CAN,Nepal,Canada,611,0,213,0,0,0
2018,NPL,COD,Nepal,Democratic Republic of the Congo,0,0,5,0,0,0
2018,NPL,CRI,Nepal,Costa Rica,0,0,105,0,0,0
2018,NPL,CYP,Nepal,Cyprus,0,0,205,0,0,0
2018,NPL,DNK,Nepal,Denmark,5,0,0,0,0,0
2018,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2018,NPL,FRA,Nepal,France,141,0,70,0,0,0
2018,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,38,0,172,0,0,0
2018,NPL,DEU,Nepal,Germany,56,0,129,0,0,0
2018,NPL,GRC,Nepal,Greece,10,0,138,0,0,0
2018,NPL,HUN,Nepal,Hungary,11,0,0,0,0,0
2018,NPL,IRL,Nepal,Ireland,5,0,21,0,0,0
2018,NPL,ISR,Nepal,Israel,0,0,42,0,0,0
2018,NPL,ITA,Nepal,Italy,114,0,127,0,0,0
2018,NPL,KOR,Nepal,Republic of Korea,5,0,226,0,0,0
2018,NPL,MYS,Nepal,Malaysia,9,0,0,0,0,0
2018,NPL,MNE,Nepal,Montenegro,0,0,5,0,0,0
2018,NPL,NPL,Nepal,Nepal,0,0,0,328,0,0
2018,NPL,NLD,Nepal,Netherlands,239,0,0,0,0,0
2018,NPL,NOR,Nepal,Norway,7,0,0,0,0,0
2018,NPL,NRU,Nepal,Nauru,5,0,14,0,0,0
2018,NPL,NZL,Nepal,New Zealand,5,0,0,0,0,0
2018,NPL,PAN,Nepal,Panama,0,0,14,0,0,0
2018,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2018,NPL,POL,Nepal,Poland,8,0,0,0,0,0
2018,NPL,ESP,Nepal,Spain,0,0,5,0,0,0
2018,NPL,SWE,Nepal,Sweden,16,0,20,0,0,0
2018,NPL,CHE,Nepal,Switzerland,19,0,8,0,0,0
2018,NPL,THA,Nepal,Thailand,10,0,0,0,0,0
2018,NPL,TUR,Nepal,Turkey,0,0,5,0,0,0
2018,NPL,UKR,Nepal,Ukraine,0,0,19,0,0,0
2018,NPL,USA,Nepal,United States of America,7053,0,6724,0,0,0
2019,NPL,ARG,Nepal,Argentina,0,0,5,0,0,0
2019,NPL,AUS,Nepal,Australia,143,0,553,0,0,0
2019,NPL,AUT,Nepal,Austria,26,0,60,0,0,0
2019,NPL,BEL,Nepal,Belgium,8,0,5,0,0,0
2019,NPL,BRA,Nepal,Brazil,11,0,373,0,0,0
2019,NPL,BIH,Nepal,Bosnia and Herzegovina,0,0,5,21,0,0
2019,NPL,CAN,Nepal,Canada,31,0,257,0,0,0
2019,NPL,CRI,Nepal,Costa Rica,0,0,105,0,0,0
2019,NPL,CYP,Nepal,Cyprus,0,0,448,0,0,0
2019,NPL,DNK,Nepal,Denmark,5,0,0,0,0,0
2019,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2019,NPL,FIN,Nepal,Finland,0,0,5,0,0,0
2019,NPL,FRA,Nepal,France,150,0,35,0,0,0
2019,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,47,0,287,0,0,0
2019,NPL,DEU,Nepal,Germany,61,0,81,0,0,0
2019,NPL,GRC,Nepal,Greece,12,0,175,0,0,0
2019,NPL,HRV,Nepal,Croatia,0,0,5,0,0,0
2019,NPL,HUN,Nepal,Hungary,11,0,0,0,0,0
2019,NPL,IRL,Nepal,Ireland,6,0,26,0,0,0
2019,NPL,ISR,Nepal,Israel,0,0,28,0,0,0
2019,NPL,ITA,Nepal,Italy,130,0,50,0,0,0
2019,NPL,KOR,Nepal,Republic of Korea,5,0,431,0,0,0
2019,NPL,MEX,Nepal,Mexico,0,0,9,0,0,0
2019,NPL,MYS,Nepal,Malaysia,10,0,0,0,0,0
2019,NPL,MLT,Nepal,Malta,0,0,19,0,0,0
2019,NPL,NPL,Nepal,Nepal,0,0,0,324,0,0
2019,NPL,NLD,Nepal,Netherlands,192,0,7,0,0,0
2019,NPL,NOR,Nepal,Norway,5,0,0,0,0,0
2019,NPL,NRU,Nepal,Nauru,0,0,15,0,0,0
2019,NPL,NZL,Nepal,New Zealand,5,0,5,0,0,0
2019,NPL,PAN,Nepal,Panama,0,0,12,0,0,0
2019,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2019,NPL,POL,Nepal,Poland,8,0,0,0,0,0
2019,NPL,ZAF,Nepal,South Africa,0,0,146,0,0,0
2019,NPL,ESP,Nepal,Spain,0,0,5,0,0,0
2019,NPL,SWE,Nepal,Sweden,14,0,20,0,0,0
2019,NPL,CHE,Nepal,Switzerland,20,0,8,0,0,0
2019,NPL,THA,Nepal,Thailand,6,0,0,0,0,0
2019,NPL,USA,Nepal,United States of America,7122,0,6755,0,0,0
2020,NPL,ARG,Nepal,Argentina,0,0,5,0,0,0
2020,NPL,AUS,Nepal,Australia,134,0,587,0,0,0
2020,NPL,AUT,Nepal,Austria,22,0,47,0,0,0
2020,NPL,BEL,Nepal,Belgium,8,0,5,0,0,0
2020,NPL,BRA,Nepal,Brazil,12,0,380,0,0,0
2020,NPL,BIH,Nepal,Bosnia and Herzegovina,0,0,0,16,0,0
2020,NPL,CAN,Nepal,Canada,0,0,243,0,0,0
2020,NPL,CRI,Nepal,Costa Rica,0,0,105,0,0,0
2020,NPL,CYP,Nepal,Cyprus,0,0,457,0,0,0
2020,NPL,DNK,Nepal,Denmark,5,0,5,0,0,0
2020,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2020,NPL,FIN,Nepal,Finland,0,0,5,0,0,0
2020,NPL,FRA,Nepal,France,150,0,80,0,0,0
2020,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,49,0,300,0,0,0
2020,NPL,DEU,Nepal,Germany,64,0,54,0,0,0
2020,NPL,GRC,Nepal,Greece,14,0,163,0,0,0
2020,NPL,HRV,Nepal,Croatia,0,0,0,5,0,0
2020,NPL,HUN,Nepal,Hungary,11,0,0,0,0,0
2020,NPL,IRL,Nepal,Ireland,6,0,20,0,0,0
2020,NPL,ISR,Nepal,Israel,0,0,32,0,0,0
2020,NPL,ITA,Nepal,Italy,136,0,57,0,0,0
2020,NPL,KOR,Nepal,Republic of Korea,5,0,511,0,0,0
2020,NPL,MEX,Nepal,Mexico,0,0,15,0,0,0
2020,NPL,MYS,Nepal,Malaysia,9,0,0,0,0,0
2020,NPL,MLT,Nepal,Malta,0,0,19,0,0,0
2020,NPL,NPL,Nepal,Nepal,0,0,0,343,0,0
2020,NPL,NLD,Nepal,Netherlands,170,0,5,0,0,0
2020,NPL,NOR,Nepal,Norway,5,0,0,0,0,0
2020,NPL,NRU,Nepal,Nauru,11,0,6,0,0,0
2020,NPL,NZL,Nepal,New Zealand,5,0,5,0,0,0
2020,NPL,PAN,Nepal,Panama,0,0,12,0,0,0
2020,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2020,NPL,POL,Nepal,Poland,8,0,0,0,0,0
2020,NPL,ZAF,Nepal,South Africa,0,0,146,0,0,0
2020,NPL,ESP,Nepal,Spain,0,0,5,0,0,0
2020,NPL,SWE,Nepal,Sweden,12,0,19,0,0,0
2020,NPL,CHE,Nepal,Switzerland,21,0,9,0,0,0
2020,NPL,THA,Nepal,Thailand,5,0,0,0,0,0
2020,NPL,USA,Nepal,United States of America,7007,0,6724,0,0,0
