Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
2005,NPL,CAN,Nepal,Canada,178,0,44,0,0,0
2005,NPL,CYP,Nepal,Cyprus,0,0,160,0,0,0
2005,NPL,DNK,Nepal,Denmark,0,0,5,0,0,0
2005,NPL,FIN,Nepal,Finland,5,0,0,0,0,0
2005,NPL,FRA,Nepal,France,26,0,0,0,0,0
2005,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,149,0,0,0,0,0
2005,NPL,DEU,Nepal,Germany,530,0,242,0,0,0
2005,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",9,0,220,0,0,0
2005,NPL,HUN,Nepal,Hungary,8,0,0,0,0,0
2005,NPL,IRL,Nepal,Ireland,5,0,0,0,0,0
2005,NPL,KOR,Nepal,Republic of Korea,0,0,11,0,0,0
2005,NPL,MEX,Nepal,Mexico,0,0,5,0,0,0
2005,NPL,MYS,Nepal,Malaysia,10,0,304,0,0,0
2005,NPL,NLD,Nepal,Netherlands,35,0,197,0,0,0
2005,NPL,NOR,Nepal,Norway,16,0,0,0,0,0
2005,NPL,NZL,Nepal,New Zealand,9,0,20,0,0,0
2005,NPL,SWE,Nepal,Sweden,8,0,59,0,0,0
2005,NPL,CHE,Nepal,Switzerland,6,0,103,0,0,0
2005,NPL,THA,Nepal,Thailand,40,0,67,0,0,0
2005,NPL,USA,Nepal,United States of America,957,0,495,0,0,0
2006,NPL,AUS,Nepal,Australia,72,0,30,0,0,0
2006,NPL,AUT,Nepal,Austria,8,0,155,0,0,0
2006,NPL,BEL,Nepal,Belgium,26,0,250,0,0,0
2006,NPL,CAN,Nepal,Canada,319,0,114,0,0,0
2006,NPL,CYP,Nepal,Cyprus,0,0,205,0,0,0
2006,NPL,DNK,Nepal,Denmark,5,0,0,0,0,0
2006,NPL,ECU,Nepal,Ecuador,0,0,9,0,0,0
2006,NPL,FIN,Nepal,Finland,6,0,0,0,0,0
2006,NPL,FRA,Nepal,France,32,0,0,0,0,0
2006,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,149,0,0,0,0,0
2006,NPL,DEU,Nepal,Germany,225,0,147,0,0,0
2006,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",11,0,251,0,0,0
2006,NPL,HUN,Nepal,Hungary,14,0,0,0,0,0
