Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications,,
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications,,
2003,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,59,,
2003,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,47,,
2003,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,5,,
2003,NPL,ESP,Nepal,Spain,G,Government,V,,P,Persons,0,11,,
2003,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,5,,
2003,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,20,,
2003,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,41,,
2003,NPL,THA,Nepal,Thailand,U,UNHCR,V,,P,Persons,0,14,,
2003,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,240,,
2003,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,314,,1599
2004,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,48,,
2004,NPL,AUS,Nepal,Australia,G,Government,V,,P,Persons,0,40,,
2004,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,69,,
2004,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,136,,
2004,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,373,,
2004,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,67,,
2004,NPL,CYP,Nepal,Cyprus,G,Government,V,,P,Persons,0,87,,
2004,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,6,,
2004,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,20,,
2004,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,P,Persons,0,104,,
2004,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,130,,
2004,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,26,,
2004,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,V,,P,Persons,0,278,,
2004,NPL,HUN,Nepal,Hungary,G,Government,V,,P,Persons,0,24,,
2004,NPL,IRL,Nepal,Ireland,G,Government,V,,P,Persons,0,18,,
2004,NPL,ISR,Nepal,Israel,G,Government,V,,P,Persons,0,6,,
2004,NPL,JPN,Nepal,Japan,G,Government,V,,P,Persons,0,5,,
2004,NPL,MYS,Nepal,Malaysia,U,UNHCR,V,,P,Persons,0,18,,
2004,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,156,,
2004,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,91,,
2004,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,8,,
2004,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,7,,
2004,NPL,POL,Nepal,Poland,G,Government,V,,P,Persons,0,5,,
2004,NPL,ESP,Nepal,Spain,G,Government,V,,P,Persons,0,5,,
2004,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,12,,
2004,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,35,,
2004,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,25,,
2004,NPL,THA,Nepal,Thailand,U,UNHCR,V,,P,Persons,0,54,,
2004,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,23,,
2004,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,298,,2174
2005,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,60,,
2005,NPL,AUS,Nepal,Australia,G,Government,V,,P,Persons,0,73,,
2005,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,78,,
2005,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,305,,
2005,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,557,,
2005,NPL,BGR,Nepal,Bulgaria,G,Government,V,,P,Persons,0,5,,
2005,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,65,,
2005,NPL,CYP,Nepal,Cyprus,G,Government,V,,P,Persons,0,77,,
2005,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,10,,
2005,NPL,FIN,Nepal,Finland,G,Government,V,,P,Persons,0,5,,
2005,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,43,,
2005,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,5,,
2005,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,P,Persons,0,77,,
2005,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,67,,
2005,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,29,,
2005,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,V,,P,Persons,0,101,,
2005,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,V,,P,Persons,0,5,,
2005,NPL,HUN,Nepal,Hungary,G,Government,V,,P,Persons,0,5,,
2005,NPL,HUN,Nepal,Hungary,G,Government,V,,P,Persons,0,5,,
2005,NPL,IRL,Nepal,Ireland,G,Government,V,,P,Persons,0,5,,
2005,NPL,JPN,Nepal,Japan,G,Government,V,,P,Persons,0,5,,
2005,NPL,KOR,Nepal,Republic of Korea,G,Government,V,,P,Persons,0,8,,
2005,NPL,LUX,Nepal,Luxembourg,G,Government,V,,P,Persons,0,5,,
2005,NPL,MEX,Nepal,Mexico,G,Government,V,,P,Persons,0,10,,
2005,NPL,MYS,Nepal,Malaysia,U,UNHCR,V,,P,Persons,0,303,,
2005,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,152,,
2005,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,104,,
2005,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,12,,
2005,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,19,,
2005,NPL,POL,Nepal,Poland,G,Government,V,,P,Persons,0,5,,
2005,NPL,PRT,Nepal,Portugal,G,Government,V,,P,Persons,0,5,,
2005,NPL,ESP,Nepal,Spain,G,Government,V,,P,Persons,0,16,,
2005,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,16,,
2005,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,95,,
2005,NPL,THA,Nepal,Thailand,U,UNHCR,V,,P,Persons,0,16,,
2005,NPL,THA,Nepal,Thailand,U,UNHCR,V,,P,Persons,0,100,,
2005,NPL,UKR,Nepal,Ukraine,G,Government,V,,P,Persons,0,5,,
2005,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,28,,
2005,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,387,,2868
2006,NPL,AUS,Nepal,Australia,G,Government,A,Appeal,C,Cases,0,64,,
2006,NPL,AUS,Nepal,Australia,G,Government,N,New,P,Persons,0,36,,
2006,NPL,AUT,Nepal,Austria,G,Government,NR,New and repeat,P,Persons,0,36,,
2006,NPL,BEL,Nepal,Belgium,G,Government,A,Appeal,P,Persons,0,150,,
2006,NPL,BEL,Nepal,Belgium,G,Government,N,New,P,Persons,0,216,,
2006,NPL,CAN,Nepal,Canada,G,Government,N,New,P,Persons,0,147,,
2006,NPL,CYP,Nepal,Cyprus,G,Government,A,Appeal,P,Persons,0,5,,
2006,NPL,CYP,Nepal,Cyprus,G,Government,N,New,P,Persons,0,65,,
2006,NPL,DNK,Nepal,Denmark,G,Government,N,New,P,Persons,0,5,,
2006,NPL,ECU,Nepal,Ecuador,J,Joint,N,New,P,Persons,1.5,13,,
2006,NPL,FIN,Nepal,Finland,G,Government,N,New,P,Persons,0,5,,
2006,NPL,FRA,Nepal,France,G,Government,N,New,P,Persons,0,20,,
2006,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,N,New,P,Persons,0,54,,
2006,NPL,DEU,Nepal,Germany,G,Government,NA,New and appeal,P,Persons,0,32,,
2006,NPL,DEU,Nepal,Germany,G,Government,R,Repeat,P,Persons,0,22,,
2006,NPL,GRC,Nepal,Greece,G,Government,N,New,P,Persons,0,5,,
2006,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,A,Appeal,P,Persons,1,28,,
2006,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,N,New,P,Persons,1,75,,
2006,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,R,Repeat,P,Persons,1,9,,
2006,NPL,HUN,Nepal,Hungary,G,Government,N,New,P,Persons,1,6,,
2006,NPL,IDN,Nepal,Indonesia,U,UNHCR,NR,New and repeat,P,Persons,1,5,,
2006,NPL,IRL,Nepal,Ireland,G,Government,A,Appeal,P,Persons,0,9,,
2006,NPL,IRL,Nepal,Ireland,G,Government,N,New,P,Persons,0,7,,
2006,NPL,ISR,Nepal,Israel,J,Joint,N,New,C,Cases,0,8,,
2006,NPL,JPN,Nepal,Japan,G,Government,N,New,P,Persons,0,11,,
2006,NPL,KOR,Nepal,Republic of Korea,G,Government,NR,New and repeat,P,Persons,0,78,,
2006,NPL,MEX,Nepal,Mexico,G,Government,N,New,P,Persons,0,6,,
2006,NPL,MYS,Nepal,Malaysia,U,UNHCR,NR,New and repeat,P,Persons,2.2,26,,
