Country,CountryID,Year AD,No of Nepalese People migrating out
Qatar,QA,2007,85442
Malasia,MY,2007,50554
Saudi Arabia,SA,2007,42394
U.A.E,AE,2007,45342
Kuwait,KW,2007,1967
Baharin,BH,2007,5099
Oman,OM,2007,2626
South Korea,KR,2007,146
Lebanon,LB,2007,2563
Isarel,IL,2007,110
Afghanistan,AF,2007,1400
Japan,JP,2007,1306
Others,,2007,10102
