Country,CountryID,Year AD,No of Nepalese People migrating out
Qatar,QA,2011,105681
Malasia,MY,2011,98367
Saudi Arabia,SA,2011,80455
U.A.E,AE,2011,54482
Kuwait,KW,2011,24575
Baharin,BH,2011,5865
Oman,OM,2011,3163
South Korea,KR,2011,5627
Lebanon,LB,2011,243
Isarel,IL,2011,1046
Afghanistan,AF,2011,823
Japan,JP,2011,1144
Others,,2011,3094
Others,,2011,3666
