Country,CountryID,Year AD,No of Nepalese People migrating out
Qatar,QA,2008,76175
Malasia,MY,2008,35070
Saudi Arabia,SA,2008,48749
U.A.E,AE,2008,31688
Kuwait,KW,2008,2291
Baharin,BH,2008,6360
Oman,OM,2008,4247
South Korea,KR,2008,2909
Lebanon,LB,2008,3379
Isarel,IL,2008,3378
Afghanistan,AF,2008,1538
Japan,JP,2008,1872
Others,,2008,2354
