Country,CountryID,Year AD,No of Nepalese People migrating out
Qatar,QA,2009,55940
Malasia,MY,2009,113982
Saudi Arabia,SA,2009,63400
U.A.E,AE,2009,33188
Kuwait,KW,2009,8255
Baharin,BH,2009,4234
Oman,OM,2009,3285
South Korea,KR,2009,2532
Lebanon,LB,2009,3788
Isarel,IL,2009,316
Afghanistan,AF,2009,735
Japan,JP,2009,516
Others,,2009,3923
