Country,CountryID,Year AD,No of Nepalese People migrating out
Qatar,QA,2010,102966
Malasia,MY,2010,105906
Saudi Arabia,SA,2010,71116
U.A.E,AE,2010,44464
Kuwait,KW,2010,15187
Baharin,BH,2010,4647
Oman,OM,2010,2442
South Korea,KR,2010,3728
Lebanon,LB,2010,151
Isarel,IL,2010,273
Afghanistan,AF,2010,655
Japan,JP,2010,603
Others,,2010,2578
