Country,CountryID,Year AD,No of Nepalese People migrating out
Qatar,QA,2006,59642
Malasia,MY,2006,74029
Saudi Arabia,SA,2006,39279
U.A.E,AE,2006,25172
Kuwait,KW,2006,2441
Baharin,BH,2006,1200
Oman,OM,2006,509
South Korea,KR,2006,765
Isarel,IL,2006,405
Afghanistan,AF,2006,182
Others,,2006,846
