Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2014,Australia,AU,25.2744,133.7751,419
2014,Austria,AT,47.5162,14.5501,15
2014,Azerbaijan,AZ,40.1431,47.5769,10
2014,Belgium,BE ,50.5039,4.4699,110
2014,Brazil,BR,14.235,51.9253,12
2014,Canada,CA,56.1304,106.3468,39
2014,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,15
2014,Colombia,CO,4.5709,74.2973,94
2014,Costa Rica,CR,9.7489,83.7534,52
2014,Denmark,DK,56.2639,9.5018,10
2014,France,FR,46.2276,2.2137,138
2014,Germany,DE,51.1567,10.4515,17
2014,Greece,GR,39.0742,21.8243,16
2014,Guatemala,GT,15.7835,90.2308,8
2014,Indonesia,ID,0.7893,113.9213,9
2014,Ireland,IE,53.1424,7.6921,10
2014,Italy,IT,41.8719,12.5674,69
2014,Japan,JP,36.2048,138.2529,1946
2014,Mexico,MX,23.6345,102.5528,6
2014,Nauru,NR,0.5228,166.9315,15
2014,Netherlands,NL,52.1326,5.2913,55
2014,New Zealand,NZ,40.9006,174.886,5
2014,Norway,NO,60.472,8.4689,11
2014,Papua New Guinea,PG,6.315,143.9555,17
2014,Republic of Korea,KR,35.9078,127.7669,84
2014,Russian Federation,RU,61.524,105.3188,5
2014,South Africa,ZA,30.5595,22.9375,23
2014,Sweden,SE,60.1282,18.6435,24
2014,Switzerland,CH,46.8182,8.2275,10
2014,Thailand,TH,15.87,100.9925,5
2014,Turkey,TR,38.9637,35.2433,5
2014,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,71
2014,United States of America,US,37.0902,95.7129,1316
