Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2003,Austria,AT,47.5162,14.5501,33
2003,Belgium,BE ,50.5037,4.4699,148
2003,Canada,CA,56.1304,106.3468,66
2003,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,12
2003,Denmark,DK,56.2639,9.5018,17
2003,Finland,FI,61.9241,25.7482,5
2003,France,FR,46.2276,2.2137,15
2003,Germany,DE,51.1567,10.4515,108
2003,Malaysia,MY,4.2105,101.9758,9
2003,Netherlands,NL,52.1326,5.2913,59
2003,New Zealand,NZ,40.9006,174.886,5
2003,Norway,NO,60.472,8.4689,47
2003,Slovakia,SK,48.669,19.699,5
2003,Spain,ES,40.4637,3.7492,11
2003,Sweden,SE,60.1282,18.6435,20
2003,Switzerland,CH,46.8182,8.2275,41
2003,Thailand,TH,15.87,100.9925,14
2003,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,229
2003,United States of America,US,37.0902,95.7129,554
