Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2004,Australia,AU,25.2744,133.7751,88
2004,Austria,AT,47.5162,14.5501,69
2004,Belgium,BE ,50.5037,4.4699,509
2004,Canada,CA,56.1304,106.3468,67
2004,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,278
2004,Cyprus,CY,35.1264,33.4299,87
2004,Denmark,DK,56.2639,9.5018,6
2004,France,FR,46.2276,2.2137,20
2004,Germany,DE,51.1567,10.4515,156
2004,Hungary,HU,47.1625,19.5033,24
2004,Ireland,IE,53.1424,7.6921,18
2004,Israel,IL,31.0461,34.8516,6
2004,Japan,JP,36.2048,138.2529,5
2004,Malaysia,MY,4.2105,101.9758,18
2004,Netherlands,NL,52.1326,5.2913,156
2004,New Zealand,NZ,40.9006,174.886,15
2004,Norway,NO,60.472,8.4689,91
2004,Poland,PL,51.9194,19.1451,5
2004,Slovakia,SK,48.669,19.699,12
2004,Spain,ES,40.4637,3.7492,5
2004,Sweden,SE,60.1282,18.6435,35
2004,Switzerland,CH,46.8182,8.2275,25
2004,Thailand,TH,15.87,100.9925,54
2004,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,104
2004,United States of America,US,37.0902,95.7129,321
