Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2006,Australia,AU,25.2744,133.7751,100
2006,Austria,AT,47.5162,14.5501,36
2006,Belgium,BE ,50.5037,4.4699,366
2006,Canada,CA,56.1304,106.3468,147
2006,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,112
2006,Cyprus,CY,35.1264,33.4299,70
2006,Denmark,DK,56.2639,9.5018,5
2006,Ecuador,EC,1.8312,78.1834,13
2006,Finland,FI,61.9241,25.7482,5
2006,France,FR,46.2276,2.2137,20
2006,Germany,DE,51.1567,10.4515,54
2006,Greece,GR,39.0742,21.8243,5
2006,Hungary,HU,47.1625,19.5033,6
2006,Indonesia,ID,0.7893,113.9213,5
2006,Ireland,IE,53.1424,7.6921,16
2006,Israel,IL,31.0461,34.8516,8
2006,Japan,JP,36.2048,138.2529,11
2006,Malaysia,MY,4.2105,101.9758,26
2006,Mexico,MX,23.6345,102.5528,6
2006,Netherlands,NL,52.1326,5.2913,58
2006,New Zealand,NZ,40.9006,174.886,15
2006,Norway,NO,60.472,8.4689,173
2006,Poland,PL,51.9194,19.1451,23
2006,Portugal,PT,39.3999,8.2245,6
2006,Republic of Korea,KR,35.9078,127.7669,78
2006,Slovakia,SK,48.669,19.699,5
2006,South Africa,ZA,30.5595,22.9375,5
2006,Spain,ES,40.4637,3.7492,14
2006,Sweden,SE,60.1282,18.6435,15
2006,Switzerland,CH,46.8182,8.2275,46
2006,Thailand,TH,15.87,100.9925,74
2006,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,54
2006,United States of America,US,37.0902,95.7129,494
