Year,Country,CountryID,Lat,Long,Total
2000,Australia,AU,25.2744,133.7751,193
2000,Austria,AT,47.5162,14.5501,34
2000,Belgium,BE ,50.5037,4.4699,366
2000,Canada,CA,56.1304,106.3468,18
2000,Denmark,DK,56.2639,9.5018,15
2000,France,FR,46.2276,2.2137,6
2000,Germany,DE,51.1567,10.4515,137
2000,Hungary,HU,47.1625,19.5033,5
2000,Netherlands,NL,52.1326,5.2913,89
2000,Norway,NO,60.472,8.4689,26
2000,Slovakia,SK,48.669,19.699,14
2000,Switzerland,CH,46.8182,8.2275,22
2000,United States of America,US,37.0902,95.7129,85
