Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2016,Australia,AU,25.2744,133.7751,285
2016,Austria,AT,47.5162,14.5501,56
2016,Belgium,BE ,50.5037,4.4699,37
2016,Brazil,BR,14.235,51.9253,11
2016,Bulgaria,BG,42.7339,25.4858,11
2016,Canada,CA,56.1304,106.3468,180
2016,Costa Rica,CR,9.7489,83.7534,52
2016,Cyprus,CY,35.1264,33.4299,43
2016,Democratic Republic of the Congo,CD,4.0383,21.7587,5
2016,Denmark,DK,56.2639,9.5018,9
2016,Finland,FI,61.9241,25.7482,31
2016,France,FR,46.2276,2.2137,137
2016,Georgia,GE,42.3154,43.3569,9
2016,Germany,DE,51.1567,10.4515,131
2016,Greece,GR,39.0742,21.8243,65
2016,Guatemala,GT,15.7835,90.2308,12
2016,Hungary,HU,47.1625,19.5033,52
2016,Ireland,IE,53.1424,7.6921,17
2016,Italy,IT,41.8719,12.5674,63
2016,Japan,JP,36.2048,138.2529,2390
2016,Latvia,LV,56.8796,24.6032,10
2016,Netherlands,NL,52.1326,5.2913,18
2016,New Zealand,NZ,40.9006,174.886,5
2016,Norway,NO,60.472,8.4689,14
2016,Republic of Korea,KR,35.9078,127.7669,217
2016,South Africa,ZA,30.5595,22.9375,18
2016,Sweden,SE,60.1282,18.6435,38
2016,Switzerland,CH,46.8182,8.2275,6
2016,Thailand,TH,15.87,100.9925,5
2016,Ukraine,UA,48.3794,31.1615,5
2016,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,243
2016,United States of America,US,37.0902,95.7129,2097
