Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2008,Australia,AU,25.2744,133.7751,73
2008,Austria,AT,47.5162,14.5501,30
2008,Belgium,BE ,50.5037,4.4699,39
2008,Canada,CA,56.1304,106.3468,100
2008,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,130
2008,Cyprus,CY,35.1264,33.4299,108
2008,Czechia,CZ,49.8175,15.473,5
2008,Denmark,DK,56.2639,9.5018,5
2008,Ecuador,EC,1.8312,78.1834,5
2008,France,FR,46.2276,2.2137,46
2008,Germany,DE,51.1567,10.4515,12
2008,Greece,GR,39.0742,21.8243,5
2008,Ireland,IE,53.1424,7.6921,11
2008,Israel,IL,31.0461,34.8516,5
2008,Italy,IT,41.8719,12.5674,14
2008,Japan,JP,36.2048,138.2529,20
2008,Malaysia,MY,4.2105,101.9758,7
2008,Mexico,MX,23.6345,102.5528,8
2008,Netherlands,NL,52.1326,5.2913,100
2008,New Zealand,NZ,40.9006,174.886,11
2008,Nicaragua,NI,12.8654,85.2072,5
2008,Norway,NO,60.472,8.4689,207
2008,Poland,PL,51.9194,19.1451,13
2008,Republic of Korea,KR,35.9078,127.7669,12
2008,Spain,ES,40.4637,3.7492,7
2008,Sweden,SE,60.1282,18.6435,126
2008,Switzerland,CH,46.8182,8.2275,19
2008,Thailand,TH,15.87,100.9925,11
2008,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,30
2008,United States of America,US,37.0902,95.7129,675
