Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2011,Argentina,AR,38.4161,63.6167,8
2011,Australia,AU,25.2744,133.7751,413
2011,Austria,AT,47.5162,14.5501,86
2011,Belgium,BE ,50.5037,4.4699,408
2011,Canada,CA,56.1304,106.3468,41
2011,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,42
2011,Cyprus,CY,35.1264,33.4299,258
2011,Denmark,DK,56.2639,9.5018,7
2011,France,FR,46.2276,2.2137,78
2011,Georgia,GE,42.3154,43.3569,5
2011,Germany,DE,51.1567,10.4515,17
2011,Greece,GR,39.0742,21.8243,5
2011,Ireland,IE,53.1424,7.6921,17
2011,Japan,JP,36.2048,138.2529,442
2011,Mexico,MX,23.6345,102.5528,13
2011,Netherlands,NL,52.1326,5.2913,140
2011,New Zealand,NZ,40.9006,174.886,5
2011,Norway,NO,60.472,8.4689,53
2011,Peru,PE,9.19,75.0152,5
2011,Poland,PL,51.9194,19.1451,27
2011,Republic of Korea,KR,35.9078,127.7669,14
2011,Romania,RO,45.9432,24.9668,5
2011,Serbia,RS,44.0165,21.0059,9
2011,South Africa,ZA,30.5595,22.9375,9
2011,Spain,ES,40.4637,3.7492,5
2011,Sweden,SE,60.1282,18.6435,29
2011,Switzerland,CH,46.8182,8.2275,13
2011,Thailand,TH,15.87,100.9925,7
2011,Turkey,TR,38.9637,35.2433,7
2011,Ukraine,UA,48.3794,31.1615,6
2011,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,52
2011,United States of America,US,37.0902,95.7129,1321
