Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2017,Australia,AU,25.2744,133.7751,183
2017,Austria,AT,47.5162,14.5501,23
2017,Belgium,BE ,50.5037,4.4699,5
2017,Bosnia and Herzegovina,BA,43.9159,17.6791,5
2017,Brazil,BR,14.235,51.9253,65
2017,Bulgaria,BG,42.7339,25.4858,13
2017,Canada,CA,56.1304,106.3468,144
2017,Cyprus,CY,35.1264,33.4299,86
2017,France,FR,46.2276,2.2137,98
2017,Georgia,GE,42.3154,43.3569,5
2017,Germany,DE,51.1567,10.4515,40
2017,Greece,GR,39.0742,21.8243,112
2017,Hungary,HU,47.1625,19.5033,5
2017,Ireland,IE,53.1424,7.6921,11
2017,Israel,IL,31.0461,34.8516,5
2017,Italy,IT,41.8719,12.5674,90
2017,Japan,JP,36.2048,138.2529,2839
2017,Malaysia,MY,4.2105,101.9758,5
2017,Peru,PE,9.19,75.0152,5
2017,Republic of Korea,KR,35.9078,127.7669,149
2017,Slovenia,SI,46.1512,14.9955,5
2017,South Africa,ZA,30.5595,22.9375,71
2017,Spain,ES,40.4637,3.7492,5
2017,Sri Lanka,LK,7.8731,80.7718,5
2017,Sweden,SE,60.1282,18.6435,25
2017,Thailand,TH,15.87,100.9925,5
2017,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,262
2017,United States of America,US,37.0902,95.7129,1842
