Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2005,Australia,AU,25.2744,133.7751,133
2005,Austria,AT,47.5162,14.5501,78
2005,Belgium,BE ,50.5037,4.4699,862
2005,Bulgaria,BG,42.7339,25.4858,5
2005,Canada,CA,56.1304,106.3468,65
2005,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,106
2005,Cyprus,CY,35.1264,33.4299,77
2005,Denmark,DK,56.2639,9.5018,10
2005,Finland,FI,61.9241,25.7482,5
2005,France,FR,46.2276,2.2137,48
2005,Germany,DE,51.1567,10.4515,96
2005,Hungary,HU,47.1625,19.5033,10
2005,Ireland,IE,53.1424,7.6921,5
2005,Japan,JP,36.2048,138.2529,5
2005,Luxembourg,LU,49.8153,6.1296,5
2005,Malaysia,MY,4.2105,101.9758,303
2005,Mexico,MX,23.6345,102.5528,10
2005,Netherlands,NL,52.1326,5.2913,152
2005,New Zealand,NZ,40.9006,174.886,31
2005,Norway,NO,60.472,8.4689,104
2005,Poland,PL,51.9194,19.1451,5
2005,Portugal,PT,39.3999,8.2245,5
2005,Republic of Korea,KR,35.9078,127.7669,8
2005,Spain,ES,40.4637,3.7492,16
2005,Sweden,SE,60.1282,18.6435,16
2005,Switzerland,CH,46.8182,8.2275,95
2005,Thailand,TH,15.87,100.9925,116
2005,Ukraine,UA,48.3794,31.1615,5
2005,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,77
2005,United States of America,US,37.0902,95.7129,415
