Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2012,Australia,AU,25.2744,133.7751,452
2012,Austria,AT,47.5162,14.5501,42
2012,Belgium,BE ,50.5037,4.4699,234
2012,Brazil,BR,14.235,51.9253,32
2012,Canada,CA,56.1304,106.3468,45
2012,Chile,CL,35.6751,71.543,6
2012,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,14
2012,Costa Rica,CR,9.7489,83.7534,15
2012,Cyprus,CY,35.1264,33.4299,36
2012,Denmark,DK,56.2639,9.5018,15
2012,France,FR,46.2276,2.2137,327
2012,Germany,DE,51.1567,10.4515,14
2012,Greece,GR,39.0742,21.8243,6
2012,Hungary,HU,47.1625,19.5033,5
2012,Indonesia,ID,0.7893,113.9213,5
2012,Ireland,IE,53.1424,7.6921,50
2012,Israel,IL,31.0461,34.8516,14
2012,Italy,IT,41.8719,12.5674,5
2012,Japan,JP,36.2048,138.2529,577
2012,Mexico,MX,23.6345,102.5528,5
2012,Netherlands,NL,52.1326,5.2913,111
2012,New Zealand,NZ,40.9006,174.886,10
2012,Norway,NO,60.472,8.4689,45
2012,Poland,PL,51.9194,19.1451,18
2012,Republic of Korea,KR,35.9078,127.7669,43
2012,Romania,RO,45.9432,24.9668,7
2012,South Africa,ZA,30.5595,22.9375,116
2012,Sweden,SE,60.1282,18.6435,17
2012,Switzerland,CH,46.8182,8.2275,48
2012,Thailand,TH,15.87,100.9925,22
2012,Ukraine,UA,48.3794,31.1615,6
2012,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,101
2012,United States of America,US,37.0902,95.7129,1666
