Year,Country of Origin,CountryID,Latitude,Longitude,Total
2015,Afghanistan,AF,33.9391,67.71,69
2015,Bhutan,BT,27.5142,90.4336,17134
2015,Democratic Republic of the Congo,CD,4.0383,21.7587,5
2015,India,IN,20.5937,78.9629,378
2015,Iran (Islamic Republic of),IR,32.4279,53.688,6
2015,Iraq,IQ,33.2232,43.6793,5
2015,Sri Lanka,LK,7.8731,80.7718,22
2015,Myanmar,MM,21.9162,95.956,164
2015,Pakistan,PK,30.3753,69.3451,268
2015,Somalia,SO,5.1521,46.1996,11
2015,Tibetan,54,30.1534,88.7879,15006
