Year,Country of Origin,CountryID,Latitude,Longitude,Total
2014,Afghanistan,AF,33.9391,67.71,67
2014,Bhutan,BT,27.5142,90.4336,23059
2014,Democratic Republic of the Congo,CD,4.0383,21.7587,5
2014,India,IN,20.5937,78.9629,381
2014,Iran (Islamic Republic of),IR,32.4279,53.688,6
2014,Iraq,IQ,33.2232,43.6793,5
2014,Sri Lanka,LK,7.8731,80.7718,26
2014,Myanmar,MM,21.9162,95.956,118
2014,Pakistan,PK,30.3753,69.3451,318
2014,Somalia,SO,5.1521,46.1996,20
2014,Tibetan,54,30.1534,88.7879,15005
